English,Hindi
proclox capsule is used in the treatment of bacterial infections,प्रोक्लोक्स कैप्सूल का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण के इलाज में किया जाता है
nortip tablet is used in the treatment of depression,नोर्टिप टैबलेट का इस्तेमाल डिप्रेशन के इलाज में किया जाता है
it can take <n1> to <n2> weeks for nortip tablet to start working,नोर्टिप टैबलेट का असर शुरू होने में <n1> से <n2> हफ़्तों का समय लग सकता है
as nortip tablet may affect your alertness which may affect your ability to drive,"नोर्टिप टैबलेट से आपकी सतर्कता (अलर्टनेस) पर असर पड़ सकता है, जिससे आपको ड्राइव करने में परेशानी हो सकती है"
the addiction/dependence potential of nortip tablet is very less,नोर्टिप टैबलेट की लत लगना/निर्भरता बहुत कम है
"side effect of soframax is application site reactions (burning, irritation, itching and redness)","सोफ्रैमैक्स का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
"however, the use of mucotrip-ds tablet is not recommended in patients with severe liver disease and active liver disease","हालांकी, गंभीर लीवर संबंधित रोग एंड एक्टिव लीवर संबंधित रोग से पीड़ित मरीजों को मुकोट्रिप-डीएस टैबलेट का इस्तेमाल न करने की सलाह दी जाती है"
"mucotrip-ds tablet: view uses, side effects, price and substitutes | <n1>mg","मुकोट्रिप-डीएस टैबलेट: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
dulane m <n1> capsule is used in the treatment of neuropathic pain,डुलेन एम <n1> कैप्सूल का इस्तेमाल न्यूरोपैथिक दर्द के इलाज में किया जाता है
rampril <n1>mg capsule is used in the treatment of heart attack and heart failure,रैम्परिल <n1>mg कैप्सूल का इस्तेमाल हार्ट अटैक and हार्ट फेल के इलाज में किया जाता है
lobet <n1>mg injection is used in the treatment of heart attack and chest pain (angina),लोबेट <n1>mg इन्जेक्शन का इस्तेमाल हार्ट अटैक and सीने में दर्द (एंजाइना) के इलाज में किया जाता है
troyzolid <n1> mg tablet,ट्रोयज़ोलिड <n1> एमजी टैबलेट
"troyzolid <n1> mg tablet: view uses, side effects, price and substitutes | <n2>mg","ट्रोयज़ोलिड <n1> एमजी टैबलेट: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n2>mg"
placentrex v gel is used in the treatment of chronic non-healing wounds,प्लेसन्ट्रेक्स वी जेल का इस्तेमाल लम्बे समय तक ठीक ना होने वाले घाव के इलाज में किया जाता है
lablol <n1>mg tablet is used in the treatment of heart attack and chest pain (angina),लैब्लोल <n1>mg टैबलेट का इस्तेमाल हार्ट अटैक and सीने में दर्द (एंजाइना) के इलाज में किया जाता है
"avoid prolonged use of opox <n1>mg dry syrup, since it may have possible effects such as rash and diarrhea",लंबे समय तक ओपोक्स <n1>mg ड्राय सिरप का सेवन करने से बचे क्योंकि रैश या डायरिया होने का खतरा हो सकता है
opox <n1>mg dry syrup is used in the treatment of bacterial infections,ओपोक्स <n1>mg ड्राय सिरप का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण के इलाज में किया जाता है
opox <n1>mg dry syrup should be used with caution in patients with severe kidney disease,गंभीर गुर्दे की बीमारी से पीड़ित मरीज सावधानी के साथ ओपोक्स <n1>mg ड्राय सिरप का इस्तेमाल करें
nimcell tablet dt,निम्सैल टैबलेट डीटी
"nimcell tablet dt: view uses, side effects, price and substitutes | <n1>mg","निम्सैल टैबलेट डीटी: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
cordarone x tablet is used in the treatment of arrhythmias,कॉर्डेरोन एक्स टैबलेट का इस्तेमाल एरिथमिया के इलाज में किया जाता है
feliz-s <an1> tablet is used in the treatment of depression,फेलिज़-एस <an1> टैबलेट का इस्तेमाल डिप्रेशन के इलाज में किया जाता है
nirflox oz tablet is used in the treatment of bacterial & parasitic infections,जीवाणु और परजीवी संक्रमण के उपचार में निर्फलोक्स ओज़ेड टैबलेट का उपयोग किया जाता है
nirflox oz tablet is a combination of two antibiotics: ofloxacin and ornidazole,निर्फलोक्स ओज़ेड टैबलेट दो एंटीबायोटिक्स का मिश्रण हैः ओफ़्लॉक्सासिन एवं ओर्निडैज़ोल
nirflox oz tablet is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए निर्फलोक्स ओज़ेड टैबलेट का इस्तेमाल संभवतः सुरक्षित हो सकता है
nimocer <n1>mg tablet is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए निमोसैर <n1>mg टैबलेट का इस्तेमाल संभवतः सुरक्षित हो सकता है
"acegold total tablet is a combination of three medicines: montelukast, levocetirizine and acebrophylline","असैगोल्ड टोटल टैबलेट तीन दवाओं का संयोजन होता है: मोनटेलकैस्ट,लेवोसेट्रिज़ीन और असैब्रोफीलाइन"
"acegold total tablet: view uses, side effects, price and substitutes | <n1>mg","असैगोल्ड टोटल टैबलेट: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
"side effect of pilo go is application site reactions (burning, irritation, itching and redness)","पिलो गो का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
cym <n1>mg tablet is used as appetite stimulant,क्य्म <n1>mg टैबलेट का इस्तेमाल भूख बढ़ाने वाला के रूप में किया जाता है
norper tablet is a combination of two medicines: metoclopramide and magaldrate,नोर्पेर टैबलेट दो दवाओं का एक मिश्रण हैःमेटोक्लोप्रैमाइड और मैगैल्ड्रेट
norper tablet is used in the treatment of acidity and vomiting,नोर्पेर टैबलेट का इस्तेमाल एसिडिटी and उल्टी के इलाज में किया जाता है
ofloxacin <n1> w/w eye/ear drops,ओफ़्लॉक्सासिन <n1> डबल्यू/डबल्यू आई/इयर ड्रॉप्स
"ofcare eye/ear drops: view uses, side effects, price and substitutes | <n1>mg","ओफ्केर आई/इयर ड्रॉप्स: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
migravas <n1>mg tablet is used for preventive treatment of migraine,माइग्रावास <n1>mg टैबलेट का इस्तेमाल प्रिवेंटिव ट्रीटमेंट ओएफ माइग्रेन में होने वाला सिरदर्द के लिए किया जाता है
dolotuss suspension is used in the treatment of dry cough,डोलोटस सस्पेंशन का इस्तेमाल सूखी खांसी के इलाज में किया जाता है
urifast <n1>mg tablet dt is used in the treatment and prevention of bacterial infections of urinary tract,अरिफास्ट <n1>mg टैबलेट डीटी का इस्तेमाल मूत्र मार्ग में बैक्टीरिया संक्रमण के इलाज और रोकथाम में किया जाता है
use of urifast <n1>mg tablet dt is not recommended in patients with severe liver disease and active liver disease,"गंभीर लीवर संबंधित रोग एंड एक्टिव लीवर संबंधित रोग से पीड़ित मरीजों के लिए अरिफास्ट <n1>mg टैबलेट डीटी का इस्तेमाल संभवतः असुरक्षित है, इसके सेवन से परहेज करें"
migrof <n1> capsule is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए माइग्रोफ <n1> कैप्सूल का इस्तेमाल संभवतः सुरक्षित हो सकता है
migrof <n1> capsule is used for preventive treatment of migraine,माइग्रोफ <n1> कैप्सूल का इस्तेमाल प्रिवेंटिव ट्रीटमेंट ओएफ माइग्रेन में होने वाला सिरदर्द के लिए किया जाता है
"side effect of clomax b is application site reactions (burning, irritation, itching and redness)","क्लोमेक्स बी का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
acetic acid is used to prevent infections,एसेटिक एसिड का इस्तेमाल संक्रमण के रोकथाम में किया जाता है
"however, the use of diclorap s tablet is not recommended in patients with severe liver disease and active liver disease","हालांकी, गंभीर लीवर संबंधित रोग एंड एक्टिव लीवर संबंधित रोग से पीड़ित मरीजों को डिक्लोरैप एस टैबलेट का इस्तेमाल न करने की सलाह दी जाती है"
enecet p tablet is used in the treatment of common cold symptoms,एनेसेट पी टैबलेट का इस्तेमाल जुकाम के इलाज में किया जाता है
"if a single dose of metazol suspension is used, it is recommended to hold breastfeeding for <an1> hours to allow the removal of the drug",अगर मेटाज़ोल सस्पेंशन की एक खुराक का उपयोग किया गया है तो अगले <an1> घंटो तक स्तनपान ना कराने की सलाह दी जाती है जिससे दवा का असर पूरी तरह हट जाए
metazol suspension is used in the treatment of bacterial infections and parasitic infections,मेटाज़ोल सस्पेंशन का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण and परजीवी संक्रमण के इलाज में किया जाता है
sertabor cream is used in the treatment of fungal skin infections,सेर्टैबोर क्रीम का इस्तेमाल त्वचा में फंगल इन्फेक्शन के इलाज में किया जाता है
"side effect of sertabor is application site reactions (burning, irritation, itching and redness)","सेर्टैबोर का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
"however, the use of termadol mr tablet is not recommended in patients with severe liver disease and active liver disease","हालांकी, गंभीर लीवर संबंधित रोग एंड एक्टिव लीवर संबंधित रोग से पीड़ित मरीजों को टर्माडॉल एमआर टैबलेट का इस्तेमाल न करने की सलाह दी जाती है"
termadol mr tablet is used for muscular pain,टर्माडॉल एमआर टैबलेट का इस्तेमाल मांसपेशियों में दर्द के लिए किया जाता है
"emit <n1> mg tablet: view uses, side effects, price and substitutes | <n2>mg","इमिट <n1> एमजी टैबलेट: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n2>mg"
emit <n1> mg tablet is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए इमिट <n1> एमजी टैबलेट का इस्तेमाल संभवतः सुरक्षित हो सकता है
it may take <n1> to <n2> weeks for emit <n3> mg tablet to start working,इमिट <n3> एमजी टैबलेट को काम शुरू करने में <n1> to <n2> हफ्ते को समय लग सकता है
emit <n1> mg tablet is used in the treatment of depression and neuropathic pain,इमिट <n1> एमजी टैबलेट का इस्तेमाल डिप्रेशन and न्यूरोपैथिक दर्द के इलाज में किया जाता है
silodonol <n1>mg capsule is used in the treatment of benign prostatic hyperplasia,सिलोडोनोल <n1>mg कैप्सूल का इस्तेमाल बिनाइन प्रोस्टेटिक हाइपरप्लासिया के इलाज में किया जाता है
side effect of respizen is nasal irritation,रेस्पाइज़्न का साइड इफेक्ट नाक में जलन है
respizen nasal spray is used in the treatment of sneezing and runny nose due to allergies,रेस्पाइज़्न नेज़ल स्प्रे का इस्तेमाल एलर्जी के कारण हुए छींक और सर्दी के इलाज में किया जाता है
u-b fair cream is used in the treatment of melasma,यू-बी फेयर क्रीम का इस्तेमाल मेलाज्मा ( त्वचा पर गहरे भूरे रंग के दाग) के इलाज में किया जाता है
"side effect of u-b fair is application site reactions (burning, irritation, itching and redness)","यू-बी फेयर का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
"vizcof-ax oral drops: view uses, side effects, price and substitutes | <n1>mg","विज़्कोफ-एएक्स ओरल ड्रॉप्स: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
"danogen <n1>mg tablet is used in heavy menstrual bleeding, endometriosis and benign fibrocystic breast disease","डेनोजेन <n1>mg टैबलेट का इस्तेमाल मेनोरेजिया (माहवारी के दौरान ज्यादा खून निकलना), एंडोमेट्रिओसिस and बिनाइन फाइब्रोसिस्टिक ब्रेस्ट डिजीज में किया जाता है"
gabalept <n1>mg capsule is used in the treatment of neuropathic pain and seizures,गाबालैप्ट <n1>mg कैप्सूल का इस्तेमाल न्यूरोपैथिक दर्द and दौरे पड़ना के इलाज में किया जाता है
avoid excess alcohol intake (>3 glasses/day) when taking fever x 650mg tablet as it may cause liver damage,फ़ेवर एक्स 650mg टैबलेट लेते समय शराब की ज़्यादा मात्रा (रोजाना 3 गिलास से अधिक) का सेवन न करें क्योंकि इससे लिवर को नुकसान हो सकता है
taxclav <n1> tablet is a combination of two medicines: cefixime and potassium clavulanate,टैक्स्क्लैव <n1> टैबलेट दो दवाओं का एक मिश्रण हैःसैफिक्साइम और पोटैशियम क्लैवुलैनेट
taxclav <n1> tablet is used in the treatment of bacterial infections,टैक्स्क्लैव <n1> टैबलेट का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण के इलाज में किया जाता है
taking probiotics along with taxclav <n1> tablet may help,टैक्स्क्लैव <n1> टैबलेट के साथ प्रोबायोटिक्स लेने से मदद मिल सकती है
carnivo <n1> mg tablet,कैर्निवो <n1> एमजी टैबलेट
"carnivo <n1> mg tablet: view uses, side effects, price and substitutes | <n2>mg","कैर्निवो <n1> एमजी टैबलेट: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n2>mg"
pacroma cream is used for atopic dermatitis,पैकरोमा क्रीम का इस्तेमाल एटोपिक डर्मेटाइटिस के लिए किया जाता है
malacure <n1>mg tablet is used in the treatment of malaria,मैलक्योर <n1>mg टैबलेट का इस्तेमाल मलेरिया के इलाज में किया जाता है
taking theocold drop with alcohol can cause liver damage,शराब के साथ थिओकोल्ड ड्रॉप के सेवन से लीवर ख़राब होना हो सकता है
theocold drop is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए थिओकोल्ड ड्रॉप का इस्तेमाल संभवतः सुरक्षित हो सकता है
"theocold drop: view uses, side effects, price and substitutes | <n1>mg","थिओकोल्ड ड्रॉप: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
prostium es soft gelatin capsule is used in the treatment of female infertility,प्रोस्टियम ईएस सॉफ्ट जेलाटिन कैप्सूल का इस्तेमाल महिलाओं में बांझपन के इलाज में किया जाता है
ginkonex <n1>mg tablet is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए जिन्कोनेक्स <n1>mg टैबलेट का इस्तेमाल संभवतः सुरक्षित हो सकता है
diczone plus tablet is used for pain due to muscle spasm,डिक्ज़ोन प्लस टैबलेट का इस्तेमाल दर्द ड्यू टु मांसपेशियों में ऐंठन के लिए किया जाता है
glybiotic ear drop is used in the treatment of ear infection,ग्लायबायोटिक इयर ड्रॉप का इस्तेमाल कान में संक्रमण के इलाज में किया जाता है
use of pemnat <n1>mg injection is not recommended in patients with moderate to severe kidney disease,मथ्यम व गंभीर गुर्दे की बीमारी से पीड़ित मरीजों के लिए पेमनेट <n1>mg इन्जेक्शन का इस्तेमाल संभवतः असुरक्षित है
ceftas lb tablet is a combination of two medicines: cefixime and lactobacillus,सीईएफटीएएस एलबी टैबलेट दो दवाओं का एक मिश्रण हैःसैफिक्साइम और लैक्टोबैसिलस
use of rolazin <n1>mg tablet is not recommended in patients with moderate to severe liver disease,मथ्यम व गंभीर लीवर संबंधित रोग से पीड़ित मरीजों के लिए रोलाज़िन <n1>mg टैबलेट का इस्तेमाल संभवतः असुरक्षित है
rolazin <n1>mg tablet is used to prevent chest pain (angina),रोलाज़िन <n1>mg टैबलेट का इस्तेमाल सीने में दर्द (एंजाइना) के रोकथाम में किया जाता है
pinodin tablet is used in the treatment of varicose veins,पिनोडिन टैबलेट का इस्तेमाल पैरों की नसों में सूजन के इलाज में किया जाता है
zoldonat <n1>mg injection is used in the treatment of osteoporosis,ज़ोल्डोनैट <n1>mg इन्जेक्शन का इस्तेमाल ऑस्टियोपोरोसिस के इलाज में किया जाता है
pegex <n1>mg injection is used to prevent infections after chemotherapy,पेजेक्स <n1>mg इन्जेक्शन का इस्तेमाल कीमोथेरेपी के बाद होने वाला संक्रमण के रोकथाम में किया जाता है
"tezcort cream is used in the treatment of dermatitis, eczema, psoriasis and allergic skin conditions","टेज़्कोर्ट क्रीम का इस्तेमाल डर्मेटाइटिस, एक्जिमा, सोरायसिस and त्वचा में एलर्जी के इलाज में किया जाता है"
"indikof b syrup: view uses, side effects, price and substitutes | <n1>mg","इंडिकॉफ़ बी सिरप: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
"side effect of eberfine is application site reactions (burning, irritation, itching and redness)","एबेर्फाइन का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
"side effect of totalderm is application site reactions (burning, irritation, itching and redness)","टोटैल्डर्म का साइड इफेक्ट एप्लीकेशन साइट रिएक्शंस (बर्निंग, जलन, खुजली एंड रेडनेस) है"
lectimox cv <n1>mg injection is used in the treatment of bacterial infections,लेक्टिमोक्स सीवी <n1>mg इन्जेक्शन का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण के इलाज में किया जाता है
lectimox cv <n1>mg injection is a combination of two medicines: amoxycillin and clavulanic acid,लेक्टिमोक्स सीवी <n1>mg इन्जेक्शन दो दवाओं का एक मिश्रण हैःअमोक्सी‌सिलिन और क्लैवुलैनिक एसिड
valium <n1>mg tablet should be used with caution in patients with severe kidney disease,गंभीर गुर्दे की बीमारी से पीड़ित मरीज सावधानी के साथ वैलिअम <n1>mg टैबलेट का इस्तेमाल करें
valium <n1>mg tablet is used in the treatment of short term anxiety,वैलिअम <n1>mg टैबलेट का इस्तेमाल शार्ट टर्म एंग्जायटी (चिंता) के इलाज में किया जाता है
folicel tablet is used for the treatment of folic acid deficiency,फॉलीसेल टैबलेट का इस्तेमाल फोलिक एसिड की कमी के इलाज के लिए किया जाता है
folicel tablet is used in the treatment of anemia due to folic acid deficiency,फॉलीसेल टैबलेट का इस्तेमाल एनीमिया ड्यू टु फोलिक एसिड डेफिशियेंसी के इलाज में किया जाता है
folicel tablet is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए फॉलीसेल टैबलेट का इस्तेमाल संभवतः सुरक्षित हो सकता है
vomiset <n1>mg injection is used in the treatment and prevention of nausea and vomiting,वोमिसेट <n1>mg इन्जेक्शन का इस्तेमाल मिचली आना और उल्टी के इलाज और रोकथाम में किया जाता है
febulen <n1>mg tablet should be used with caution in patients with severe kidney disease,गंभीर गुर्दे की बीमारी से पीड़ित मरीज सावधानी के साथ फेबुलेन <n1>mg टैबलेट का इस्तेमाल करें
febulen <n1>mg tablet is used in the treatment of gout,फेबुलेन <n1>mg टैबलेट का इस्तेमाल गठिया के इलाज में किया जाता है
ultralax syrup is used in the treatment of constipation,अल्ट्रालक्स सिरप का इस्तेमाल कब्ज़ के इलाज में किया जाता है
lcz-mont suspension is used in the treatment of sneezing and runny nose due to allergies,एल सी ज़ेड-मोन्ट सस्पेंशन का इस्तेमाल एलर्जी के कारण हुए छींक और सर्दी के इलाज में किया जाता है
clobakon <n1>mg tablet is used in the treatment of epilepsy and severe anxiety,क्लोबैकोन <n1>mg टैबलेट का इस्तेमाल मिरगी and एंग्जायटी (चिंता) बढ़ जाना के इलाज में किया जाता है
loperamide is used in the treatment of diarrhea,लोपेरैमाइड का इस्तेमाल डायरिया के इलाज में किया जाता है
furazolidone is used in the treatment of diarrhea,फ्यूराज़ोलिडोन का इस्तेमाल डायरिया के इलाज में किया जाता है
damadol <n1>mg injection is used for moderate to severe pain,डामाडोल <n1>mg इन्जेक्शन का इस्तेमाल धीमे से तेज होता दर्द के लिए किया जाता है
hypernil <n1> mg tablet is used in the treatment of heart attack and heart failure,हायपर्निल <n1> एमजी टैबलेट का इस्तेमाल हार्ट अटैक and हार्ट फेल के इलाज में किया जाता है
montina-l syrup is used in the treatment of sneezing and runny nose due to allergies,मोंटिना-एल सिरप का इस्तेमाल एलर्जी के कारण हुए छींक और सर्दी के इलाज में किया जाता है
use of roztek gold capsule is not recommended in patients with severe liver disease and active liver disease,"गंभीर लीवर संबंधित रोग एंड एक्टिव लीवर संबंधित रोग से पीड़ित मरीजों के लिए रोज़्टेक गोल्ड कैप्सूल का इस्तेमाल संभवतः असुरक्षित है, इसके सेवन से परहेज करें"
"roztek gold capsule: view uses, side effects, price and substitutes | <n1>mg","रोज़्टेक गोल्ड कैप्सूल: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
robo <n1> mg tablet,रोबो <n1> एमजी टैबलेट
"robo <n1> mg tablet: view uses, side effects, price and substitutes | <n2>mg","रोबो <n1> एमजी टैबलेट: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n2>mg"
"sebuxo <n1> tablet: view uses, side effects, price and substitutes | <n2>mg","सेबुक्सो <n1> टैबलेट: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n2>mg"
sebuxo <n1> tablet,सेबुक्सो <n1> टैबलेट
sebuxo <n1> tablet should be used with caution in patients with severe kidney disease,गंभीर गुर्दे की बीमारी से पीड़ित मरीज सावधानी के साथ सेबुक्सो <n1> टैबलेट का इस्तेमाल करें
lasclav <n1> mg tablet is a combination of two medicines: amoxycillin and clavulanic acid,लैस्क्लैव <n1> एमजी टैबलेट दो दवाओं का एक मिश्रण हैःअमोक्सी‌सिलिन और क्लैवुलैनिक एसिड
"lasclav <n1> mg tablet may cause side effects such as allergic reactions, dizziness or fits that may make you unfit to drive","लैस्क्लैव <n1> एमजी टैबलेट के सेवन के साइड इफेक्ट के तौर पर एलर्जी और चक्कर आ सकता है, जिससे गाड़ी चलाना मुश्किल होता है"
lasclav <n1> mg tablet is used in the treatment of bacterial infections,लैस्क्लैव <n1> एमजी टैबलेट का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण के इलाज में किया जाता है
taking probiotics along with lasclav <n1> mg tablet may help,लैस्क्लैव <n1> एमजी टैबलेट के साथ प्रोबायोटिक्स लेने से मदद मिल सकती है
muout oral solution is used in the treatment of constipation and intestine preparation before any surgery,एमयूआउट ओरल सोल्यूशन का इस्तेमाल कब्ज़ and सर्जरी से पहले आंत की तैयारी के इलाज में किया जाता है
muout oral solution is probably safe to use in patients with kidney disease,गुर्दे की बीमारी से पीड़ित मरीजों के लिए एमयूआउट ओरल सोल्यूशन का इस्तेमाल संभवतः सुरक्षित हो सकता है
muout oral solution,एमयूआउट ओरल सोल्यूशन
"muout oral solution: view uses, side effects, price and substitutes | <n1>mg","एमयूआउट ओरल सोल्यूशन: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n1>mg"
solvin cold ds syrup is used in the treatment of common cold symptoms,सोल्विन कोल्ड डीएस सिरप का इस्तेमाल जुकाम के इलाज में किया जाता है
metronil <n1>mg infusion is used in the treatment of bacterial infections and parasitic infections,मेट्रोनिल <n1>mg इन्फ्यूजन का इस्तेमाल बैक्टीरिया से होने वाले संक्रमण and परजीवी संक्रमण के इलाज में किया जाता है
"if a single dose of metronil <n1>mg infusion is used, it is recommended to hold breastfeeding for <an1> hours to allow the removal of the drug",अगर मेट्रोनिल <n1>mg इन्फ्यूजन की एक खुराक का उपयोग किया गया है तो अगले <an1> घंटो तक स्तनपान ना कराने की सलाह दी जाती है जिससे दवा का असर पूरी तरह हट जाए
use of domne <n1> mg/ml suspension is not recommended in patients with moderate and severe liver disease,मथ्यम व गंभीर लीवर संबंधित रोग से पीड़ित मरीजों के लिए डोम्न <n1> एमजी/एमएल सस्पेंशन का इस्तेमाल संभवतः असुरक्षित है
domne <n1> mg/ml suspension is a prokinetic,डोम्न <n1> एमजी/एमएल सस्पेंशन एक प्रोकाइनेटिक है
"domne <n1> mg/ml suspension: view uses, side effects, price and substitutes | <n2>mg","डोम्न <n1> एमजी/एमएल सस्पेंशन: उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n2>mg"
"domne <n1> mg/ml suspension is used in the treatment of indigestion, nausea and vomiting","डोम्न <n1> एमजी/एमएल सस्पेंशन का इस्तेमाल अपच, मिचली आना and उल्टी के इलाज में किया जाता है"
