English,Hindi
<n1> rapitabs in <n2> strip,<n2> स्ट्रिप में <n1> रैपिटैब्स 
<n1> respules in <n2> box,<n2>  बॉक्स में <n1> रेसप्यूल्स 
<n1> sachets in <n2> packet,<n2> पैकेट में <n1> सैशे 
<n1> soap in <n2> box,<n2> बॉक्स में <n1> सोप 
<n1> soft gelatin capsule in <n2> strip,<n2> स्ट्रिप में <n1> सॉफ्ट जिलेटिन कैप्सूल 
<n1> soft gelatin capsules in <n2> packet,<n2> पैकेट में <n1> सॉफ्ट जिलेटिन कैप्सूल 
<n1> solution for inhalation in <n2> packet,<n2> पैकेट में <n1> सॉल्यूशन फॉर इन्हेलेशन 
<n1> solution in <n2> bottle,<n2> बॉटल में <n1> सॉल्यूशन 
<n1> solutions in <n2> bottle,<n2> बॉटल में <n1> सॉल्यूशन 
<n1> suppositories in <n2> box,<n2> बॉक्स में <n1> सपोजिटरी  
<n1> suspension for injection in <n2> vial,<n2> वायल में <n1> सस्पेंशन फॉर इंजेक्शन 
<n1> syrups in <n2> bottle,<n2> बॉटल में <n1> सिरप 
<n1> tablet combikit in <n2> box,<n2> बॉक्स में <n1> टैबलेट कॉम्बीकिट  
<n1> tablet dt in <n2> packet,<n2> पैकेट में <n1> टैबलेट डीटी 
<n1> tablet in <n2> bottle,<n2> बॉटल में <n1> टैबलेट 
<n1> tablet mr in <n2> packet,<n2> पैकेट में <n1> टैबलेट एमआर  
<n1> tablet should be taken in the dose and duration as prescribed by your doctor,<n1> टैबलेट को डॉक्टर द्वारा बताई गई खुराक और समय के अनुसार ही लेना चाहिए 
<n1> tablet should be used in the dose and duration as advised by your doctor,<n1> टैबलेट को डॉक्टर द्वारा बताई गई खुराक और समय के अनुसार ही लेना चाहिए 
<n1> tablet sr should be taken regularly as advised by the doctor,<n1> टैबलेट एसआर को डॉक्टर के सलाह अनुसार नियमित रूप से लेना चाहिए 
<n1> transdermal patch in <n2> pouch,<n2> पाउच में <n1> ट्रांसडर्मल पैच 
<n1> unit in <n2> packet,<n2> पैकेट में <n1> यूनिट 
<n1> units of <n2> gm in <n3> tube,<n3> ट्यूब में <n2> ग्राम की <n1> यूनिट  
<n1> vaginal suppository in <n2> box,<n2> बॉक्स में <n1> वजाइनल सपोजिटरी 
<n1> w/v+<n2> w/v+<n3> w/w+<n4> w/v,<n1> w/v+<n2> w/v+<n3> w/w+<n4> w/v
<n1> w/v+<n2> w/w+<n3> w/w+<n4> w/w,<n1> w/v+<n2> w/w+<n3> w/w+<n4> w/w
<n1> w/w+<n2> % w/w+<n3> w/w,<n1> w/w+<n2> % w/w+<n3> w/w
<n1> w/w+<n2> w/v+<n3> w/v,<n1> w/w+<n2> w/v+<n3> w/v
<n1> w/w+<n2> w/v+<n3> w/w,<n1> w/w+<n2> w/v+<n3> w/w
<n1> w/w+<n2> w/v+<n3> w/w+<n4> w/w,<n1> w/w+<n2> w/v+<n3> w/w+<n4> w/w
<n1> w/w+<n2> w/w+<n3> w/w+<n4> w/w+<n5> w/w+<n6> w/w+<n7> w/w,<n1> w/w+<n2> w/w+<n3> w/w+<n4> w/w+<n5> w/w+<n6> w/w+<n7> w/w
<n1> w/w+<n2>mg+<n3>mg,<n1> w/w+<n2>mg+<n3>mg
<n1> wipes in <n2> jar,<n2> जार में <n1> वाइप्स  
<n1>billion cfu,<n1>बिलियन सीएफयू 
<n1>g tablet sr is generally started with low dose in patients with mild to moderate liver disease and its use is not recommended in patients with severe liver disease,<n1> जी टैबलेट एसआर आमतौर पर लिवर की हल्के से मॉडरेट बीमारी के रोगियों में कम खुराक के साथ शुरू किया जाता है और गंभीर लिवर की बीमारी के रोगियों में इसके इस्तेमाल की सलाह नहीं दी जाती है
<n1>g tablet sr should be taken with food,<n1>g टैबलेट एसआर को खाने के साथ ही लेना चाहिए  
<n1>gm injection fights and stops the growth of many types of bacteria,<n1> जीएम इंजेक्शन विभिन्न तरह के बैक्टीरिया से लड़ता है और उन्हें बढ़ने से रोकता है 
<n1>gm injection should only be administered under the supervision of a healthcare professional,<n1> जीएम इंजेक्शन को सिर्फ़ डॉक्टर या प्रशिक्षित स्वास्थ्यकर्मी की देखरेख में ही लगाना चाहिए 
<n1>gm+<n2> gm,<n1> ग्राम + <n2> ग्राम 
<n1>gm+<n2> mg,<n1> ग्राम +<n2> एमजी 
<n1>iu+<n2> w/v,<n1> आईयू +<n2> w/v
<n1>iu+<n2> w/w,<n1> आईयू + <n2> w/w
<n1>iu+<n2>iu+<n3>mcg+<n4>mcg+<n5>d antigen unit+<n6>d antigen unit+<n7>d antigen unit,<n1>iu+<n2>iu+<n3>mcg+<n4>mcg+<n5> डी एंटीजन यूनिट+<n6>डी एंटीजन यूनिट +<n7>डी एंटीजन यूनिट
<n1>mcg+<n2> w/v+<n3> w/v,<n1>mcg+<n2> w/v+<n3> w/v
<n1>mg / ml,<n1>mg / ml
<n1>mg capsule is also used to prevent stomach ulcers and acidity that may be seen with the prolonged use of pain-killers,<n1> एमजी कैप्सूल का इस्तेमाल पेट के अल्सर और एसिडिटी को रोकने के लिए भी किया जाता है जो आमतौर पर पेन-किलर दवाओं के लंबे समय तक इस्तेमाल के कारण हो सकता है
<n1>mg capsule may be taken with or without food,<n1>एमजी कैप्सूल को भोजन के साथ या बिना भोजन के लिया जा सकता है
<n1>mg i/ml+<n2>mcg/ml,<n1>mg i/ml+<n2>mcg/ml
<n1>mg injection is also used to prevent stress ulcers in seriously ill patients and is administered before anesthetic medication to help prevent aspiration-related complications,गंभीर रूप से बीमार रोगियों में स्ट्रेस अल्सर को रोकने के लिए <n1> मिलीग्राम इंजेक्शन का इस्तेमाल किया जाता है और इसे एस्पिरेशन संबंधी जटिलताओं को रोकने में मदद करने के लिए एनेस्थेटिक दवा से पहले लगाया जाता है
<n1>mg injection is not suitable for some people,<n1>एमजी इंजेक्शन कुछ लोगों के लिए उपयुक्त नहीं है
<n1>mg tablet can be taken with or without food or you can have it one hour before or <n2> hours after the meal,<n1> एमजी टैबलेट को भोजन के साथ या बिना खाए लिया जा सकता है या फिर आप इसे खाने से एक घंटे पहले या खाने के <n2> घंटे बाद ले सकते हैं
"<n1>mg tablet dt is a broad-spectrum type of antibiotic effective in killing many types of gram-positive bacteria, some types of gram-negative bacteria and other microorganisms","<n1> एमजी टैबलेट टीडी ब्रॉड स्पेक्ट्रम प्रकार का एंटीबायोटिक है जो कई प्रकार के ग्राम पॉजिटिव बैक्टीरिया, कुछ प्रकार के ग्राम-निगेटिव बैक्टीरिया और अन्य माइक्रोऑर्गेनिज्म को मारने में प्रभावी है।"
<n1>mg tablet is also used to prevent stomach ulcers and acidity that may be seen with the prolonged use of pain-killers,<n1> एमजी टैबलेट का इस्तेमाल पेट के अल्सर और एसिडिटी को रोकने के लिए भी किया जाता है जो आमतौर पर पेन-किलर दवाओं के लंबे समय तक इस्तेमाल के कारण हो सकता है
<n1>mg tablet may be used by itself or along with other medicines,<n1> एमजी टैबलेट को अकेले या अन्य दवाओं के साथ में इस्तेमाल किया जाता है 
<n1>mg+<n2> <an1>,<n1>एमजी +<n2> <an1>
<n1>mg+<n2>billion cells,<n1> एमजी +<n2> बिलियन सेल्स 
<n1>mg+<n2>billion cells+<n3>million spores,<n1> एमजी +<n2>  बिलियन सेल्स +<n3> मिलियन स्पोर्स 
<n1>mg+<n2>mg+<n3> mg,<n1>एमजी +<n2> एमजी +<n3> एमजी 
<n1>mg+<n2>mg+<n3> mg+<an1>,<n1> एमजी+<n2> एमजी +<n3> एमजी+<an1>
<n1>mg+<n2>mg+<n3> mg+<n4>mg+<n5>mg,<n1> एमजी +<n2> एमजी+<n3> एमजी +<n4> एमजी +<n5> एमजी 
<n1>mg+<n2>mg+<n3>billion cells,<n1>mg+<n2>mg+<n3>billion cells
<n1>mg+<n2>million spores+<n3>million spores,<n1>mg+<n2>मिलियन स्पोर्स+<n3>मिलियन स्पोर्स
<n1>months age),उम्र <n1> महीने 
<n1>th skin pharmaceuticals pvt ltd,<n1>th स्किन फार्मास्यूटिकल प्राइवेट लिमिटेड 
<n1>x cream,<n1>x क्रीम 
<n1>x solution,<n1>x सॉल्यूशन 
<n1>x solution ?,<n1>x साल्यूशन?
"<n1>x solution (bottle of <n2> ml solution) uses, composition, side-effects, price, substitutes, drug interactions, precautions, warnings, expert advice and buy online at best price on <n3>mg.com","<n1> x घोल (<n2> एमएल घोल की बोतल) का इस्तेमाल, बनावट, साइड-इफेक्ट्स, कीमत, विकल्प, ड्रग इंटरैक्शन, सावधानियां, विशेषज्ञ की सलाह और <n3> mg.com पर किफायती मूल्य पर ऑनलाइन खरीदी जा सकती हैं।"
<n1>x solution alternatives,<n1>x सॉल्यूशन के विकल्प 
<n1>x solution is a non-steroidal anti-inflammatory drugs (nsaid),<n1>x सॉल्यूशन एक नॉन-स्टेरॉयडल एंटी-इंफ्लेमेटरी ड्रग (NSAID) है 
<n1>x solution is not recommended if you are pregnant or breastfeeding and you should not use it if you are already taking diclofenac (or other similar) tablets,यदि आप गर्भवती हैं या स्तनपान करा रही हैं तो आपको <n1> x घोल लेने की सलाह नहीं दी जा सकती है और यदि आप पहले से ही डाइक्लोफेनाक (या ऐसी अन्य दवाएं) टैबलेट ले रही हैं तो आपको इसका इस्तेमाल नहीं करना चाहिए।
<n1>x solution is prescribed for,<n1> सॉल्यूशन निम्न समस्याओं में दी जाती है 
<n1>x solution may be used <n2> to <n3> times a day on the affected area depending on how strong it is,<n1> x सॉल्यूशन का इस्तेमाल दिन में  <n2> से <n3> बार प्रभावित हिस्से पर किया जा सकता है जो इस पर निर्भर करता है कि यह कितना मजबूत है
<n1>x solution price,<n1>x सॉल्यूशन की कीमत 
<n1>x solution safe in kidney disease?,क्या <n1>x  सॉल्यूशन का उपयोग किडनी की बीमारियों में सुरक्षित है?
<n1>x solution safe in liver disease?,क्या <n1>x  सॉल्यूशन का उपयोग लीवर की बीमारियों में सुरक्षित है?
<n1>x solution safe to use during pregnancy?,क्या <n1>x  सॉल्यूशन का उपयोग गर्भावस्था में सुरक्षित है?
<n1>x solution safe to use while breastfeeding?,क्या <n1>x  सॉल्यूशन का उपयोग स्तनपान के दौरान सुरक्षित है?
"<n1>x solution: view uses, side effects, price and substitutes | <n2>mg","<n1>x सॉल्यूशन : उपयोग, साइड इफ़ेक्ट, कीमत और विकल्प देखें | <n2> MG"
<n1>x solution?,<n1>x साल्यूशन?
$med_name is relatively safe to use in children,$med_name बच्चों में उपयोग करने के लिए अपेक्षाकृत सुरक्षित है
$name improves the movement of food in your stomach and gut (intestine),$name आपके पेट और आँतों में भोजन की गतिविधि में सुधार करता है 
a <n1>mg injection is administered as an injection by a healthcare professional,ए <n1> एमजी इंजेक्शन को डॉक्टर या नर्स की देखरेख में ही लगाना चाहिए और इसे कभी भी खुद से ना लगाएं 
a <n1>mg injection is administered as an injection under the supervision of a doctor or a nurse and should not be self-administered,ए <n1> एमजी इंजेक्शन को डॉक्टर या नर्स की देखरेख में ही लगाना चाहिए और इसे कभी भी खुद से ना लगाएं
a a road,ए ए रोड 
a clear passage enables easy breathing in your child,मार्ग में कोई रूकावट न होने से बच्चे को सांस लेने में आसानी रहती है 
a different injection site should be used for each dose,प्रत्येक डोज के लिए इंजेक्शन वाली जगह बदल देनी चाहिए 
a good night’s sleep can also help,रात में अच्छी नींद से भी मदद मिल सकती है 
a healthy diet can also make a big difference to your mood (as well as improving your physical health),स्वस्थ आहार आपके मूड (साथ ही साथ आपके शारीरिक स्वास्थ्य में सुधार) में भी बड़ा बदलाव ला सकता है।
a low platelet count can put you at risk for bleeding,कम प्लेटलेट काउंट आपको रक्तस्राव के जोखिम में डाल सकता है
a lower dosage or a different medication might be needed,कम खुराक या दूसरी दवा की जरूरत पड़ सकती है 
"a medical emergency when a prolonged seizure occurs or continuous seizure occurs within a span of five minutes, even before the person recovers from the previous one","यदि लंबे समय तक दौरे पड़ रहे हों या पांच मिनट के भीतर लगातार दौरे पड़ते हैं,  यहां तक कि व्यक्ति के पिछली समस्या से उबरने से पहले आपातकालीन चिकित्सा की आवश्यकता पड़ सकती है"
a mugalivakkam main road madanandapuram,एक मुगलीवक्कम मेन रोड मदननंदपुरम
a n pharmacia,ए एन फार्मासिया
a pnachkula,ए पंचकुला 
a s rao nagar malakajgiri mandal,ए एस राव नगर मलकाजगिरी मंडल
a saket nagar,ए साकेत नगर
a shop,ए शॉप 
a t nagar,ए टी नगर
a veera industrial est,वीरा इंडस्ट्रियल एस्टेट 
a-block,ए-ब्लॉक
a. n. jha marg,ए एन झा मार्ग
a.b. road indore indore mp,ए.बी. रोड इंदौर इंदौर मप्र
a.g.s. staff colony,ए.जी.एस. स्टाफ कॉलोनी
a.j.c bose road,ए. जे. सी बोस रोड
a.l.e.a.p industrial estate,ए.एल.ई.ए.पी. इंडस्ट्रियल एस्टेट 
a.o,ए.ओ. 
a.p. india,आन्ध्र प्रदेश भारत
a.s.m road,ए.एस.एम रोड
a.s.rao nagar,ए.एस.राव नगर
aadhar ambience,आधार एम्बिएंस 
aarey colony,आरे कॉलोनी
aarey milk colony goregaon east mumbai mh,आरे मिल्क कॉलोनी गोरेगांव पूर्वी मुंबई महाराष्ट्र 
aarkios health pvt ltd,आर्किओस हेल्थ प्राइवेट लिमिटेड
aarti life science,आरती लाइफ साइंसेज 
aarux pharmaceuticals pvt ltd,आरक्स फार्मास्यूटिकल्स प्राइवेट लिमिटेड
aas pharma,आस फार्मा
aaschem life care pvt ltd,आसकेम लाइफ केयर प्राइवेट लिमिटेड
aasopalav apartments,आसोपलाव अपार्टमेंट
aaura care pharmaceutical pvt ltd,आभा केयर फार्मास्यूटिकल प्राइवेट लिमिटेड
aavhanzr pharmaceutical pvt ltd,आवहंजर फार्मास्यूटिकल प्राइवेट लिमिटेड
aaztrazivixa lifesciences,आजट्राज़िविक्सा लाइफसाइंसेज
abatis holistic,एबाटिस होलिस्टिक 
"abdominal distension, cramps","पेट में मरोड़, ऐंठन "
abeal pharma,एबेल फार्मा
abhish nager nasik road nasik mh,अभिश नगर नासिक रोड नासिक महाराष्ट्र 
abhishek complex,अभिषेक काम्प्लेक्स 
abicol mr <an1> tablet,एबीकोल एमआर <an1> टैबलेट 
abicold tablet,एबिकोल्ड टैबलेट 
abids,एबिड्स 
abiros ca <an1> tablet,एबिरोस सीए <an1> टैबलेट
abivom <n1>mg tablet md,एबिवोम <n1> एमजी टैबलेट एमडी
ablung <n1>mg tablet sr,एबलंग <n1> एमजी टैबलेट एसआर 
above batra cinema,बत्रा सिनेमा के ऊपर
abrente lifesciences pvt ltd,एबरेंट इफसाइंसेज प्राइवेट लिमिटेड
abrox m syrup,एब्रोक्स एम सिरप
abstain yourself from coming in contact with allergens,एलर्जी वाली चीजों के संपर्क में आने से खुद को दूर करें
abyss pharma pvt ltd,एबिस फार्मा प्राइवेट लिमिटेड
abzine-am tablet,एब्जिन-एएम टैबलेट
ac l.b.s marg,एसी एल.बी.एस मार्ग
accimetil-dom tablet md,ऐसिमेटिल-डॉम टैबलेट एमडी
acelocast p <an1> tablet,एसीलोकास्ट पी <an1> टैबलेट 
aceplee-d tablet,एसीपल-डी टैबलेट
achates healthcare,एचैट्स हेल्थकेयर
achenmühle - germany,एकेनमुले - जर्मनी
achillea life sciences pvt ltd,एकीलिया लाइफ साइंसेज प्राइवेट लिमिटेड
aciclaz-p oral suspension,ऐसिक्लैज़-पी ओरल सस्पेंशन 
acithio d <an1> capsule,एसीथिओ डी <an1>कैप्सूल
ackruti centre point,आकृति सेंटर पॉइंट 
aclomil p oral suspension,एक्लोमिल पी ओरल सस्पेंशन
acortuss-p syrup,अकॉर्टस-पी सिरप
acrollin <n1>mg tablet,एकरोलिन <n1>एमजी टैबलेट
across laboratories pvt ltd,अक्रॉस लेबोरेटरीज प्राइवेट लिमिटेड
actee injection dispo pack,एकटी इंजेक्शन डिस्पो पैक
action class,एक्शन क्लास 
actorab d <an1> tablet,एक्टोरैब डी <an1> टैबलेट 
"acute toxicity, gastrointestinal discomfort","एक्यूट टॉक्सिसिटी, गैस्ट्रोइंटेस्टाइनल से जुड़ी दिक्कतें "
acyherp <n1>mg tablet,एसीहर्प <n1> एमजी टैबलेट 
adcco limited,एडको लिमिटेड
additional ambernath,एडिशनल अंबरनाथ
"additionally, do not abruptly stop the medicine by yourself as it may bring back the symptoms or worsen your child’s condition","इसके अलावा, अचानक खुद से दवा का सेवन बंद ना करें क्योंकि इससे वापस लक्षण आ सकते हैं या बच्चे की स्थिति और खराब हो सकती है"
"additionally, do not drink alcohol or take other medicines that make you sleepy or dizzy while on treatment with this medicine","इसके अलावा, शराब न पिएं या ऐसी अन्य दवाएं न लें जिनसे इस दवा के साथ चल रहे इलाज के दौरान नींद या चक्कर की समस्या हो"
"additionally, exercising and eating a healthy diet can also help improve your mood",साथ में हेल्दी डाइट लेने से और एक्सरसाइज करने से भी आपके मूड को बेहतर बनाने में मदद मिल सकती है
"additionally, if you are pregnant or breastfeeding, tell your doctor prior to the treatment","इसके अलावा, यदि आप गर्भवती हैं या स्तनपान करा रही हैं, तो इलाज से पहले अपने डॉक्टर को बताएं"
"additionally, inform your doctor if you have undergone any cardiac surgery or you are suffering from any liver disease",इसके अलावा अगर आप पहले कभी ह्रदय से जुड़ी कोई सर्जरी करा चुके हैं या आप लीवर से जुड़ी किसी बीमारी से पीड़ित हैं तो इस बारे में अपने डॉक्टर को बताएं
"additionally, it also contains atorvastatin, a medicine that works by reducing the amount of “bad” cholesterol (ldl) and raising the amount of “good” cholesterol (hdl) in your blood","इसके अलावा, इसमें एटोरवास्टेटिन भी मौजूद होता है, यह एक दवा जो ""खराब"" कोलेस्ट्रॉल (एलडीएल) की मात्रा को कम करती है और रक्त में ""अच्छे"" कोलेस्ट्रॉल (एचडीएल) की मात्रा को बढ़ाती है।"
"additionally, it can boost your immunity and increase the body's resistance to various infections","इसके अलावा, यह आपकी इम्यूनिटी को बढ़ाता है और कई तरह के इंफेक्शन से लड़ने के लिए शरीर के रेसिस्टेंस को बढ़ाता है"
"additionally, it decreases abnormal heart rhythms and reduces premenstrual syndrome (pms) symptoms such as abnormal cramps, mood swings, nausea, tiredness or restlessness","इसके अलावा, यह असामान्य हृदयगति को घटाता है और प्रीमेंस्ट्रुअल सिंड्रोम (पीएमएस) के लक्षणों जैसे कि  क्रैम्प, मूड स्विंग, जी मिचलाना या बेचैनी जैसे लक्षणों को कम करता है"
"additionally, it decreases abnormal heart rhythms and reduces premenstrual syndrome (pms) symptoms such as abnormal cramps, mood swings, nausea, tiredness, or restlessness","इसके अलावा, यह असामान्य हृदयगति को घटाता है और प्रीमेंस्ट्रुअल सिंड्रोम (पीएमएस) के लक्षणों जैसे कि पेट में ऐंठन, मूड स्विंग, जी मिचलाना, थकान या बेचैनी जैसे लक्षणों को कम करता है"
"additionally, it eliminates excess water from the body and increases urine output","इसके अतिरिक्त, यह शरीर से अतिरिक्त पानी की मात्रा को खत्म करता है और मूत्र बढ़ाता है"
"additionally, it helps in the normal functioning of nerves, cells, muscle and heart","साथ ही यह नसों, कोशिकाओं, मांसपेशियों और ह्रदय के कामकाज को सामान्य बनाए रखने में मदद करता है "
"additionally, it is important to tell your doctor about any scheduled surgery including dental surgeries before or while taking it","साथ ही इसे लेने के दौरान या पहले, अगर आप कोई सर्जरी जिसमें दांत की सर्जरी भी शामिल है कराने जा रहे हैं तो अपने डॉक्टर को ज़रूर बताएं"
"additionally, it lowers the cholesterol levels",इसके अलावा यह कोलेस्ट्रॉल के स्तर को कम करता है 
"additionally, it may also be prescribed to treat the symptoms of anxiety disorder if other medicines are not suitable","इसके अलावा, यदि अन्य दवाएं उपयुक्त नहीं हैं तो यह एंग्जायटी डिसऑर्डर के लक्षणों के इलाज के लिए भी दिया जा सकता है"
"additionally, it promotes muscle growth, thus can also be used for bodybuilding",इसके अलावा यह मांसपेशियों के विकास में मदद करता है और इसलिए इसे बॉडीबिल्डिंग के लिए भी इस्तेमाल किया जा सकता है 
"additionally, it relaxes the blood vessels so that blood can flow more easily around your body","इसके अलावा, यह रक्त वाहिकाओं को आराम देता है ताकि ब्लड शरीर के चारों ओर अधिक आसानी से प्रवाहित हो सके"
"additionally, it works best for several infections that are suspected to be caused by the bacteria but the type of bacteria is not known (empirical therapy)","इसके अलावा, यह बैक्टीरिया के कारण उत्पन्न कई इंफेक्शन पर सबसे अच्छा काम करता है लेकिन बैक्टीरिया का प्रकार ज्ञात नहीं है (इम्पीरिकल थेरेपी)"
"additionally, tell your doctor if you are on any other medication for any illnesses as they may affect or be affected by this medicine","इसके अलावा, यदि आप किसी भी बीमारी के लिए कोई अन्य दवा ले रहे हैं तो अपने डॉक्टर को बताएं कि क्योंकि वे इस दवा से प्रभावित हो सकते हैं"
